Timestamp,I have good working relationships with my co-workers.,There is good communication between me and my supervisor. ,Conflicts are resolved in a positive and constructive manner.,I feel favoritism is not a problem in my department.,My Supervisor works to improve communications in all directions and does a good job of sharing information. ,My skills and abilities match the work I do.,I look for another job outside the company. ,The management at Varks.am cares about employees․ ,Varks.am focuses on providing excellent customer service.,The pay at Varks.am is competitive to that of similar organizations.,My work arrangements allow me to balance my personal life with my work.,"Overall, I am satisfied with my work. ",My current workplace is close to where I live.,"If I get non-monetary rewards (such as insurance, training, ""best employee of the month"" reward), I will feel satisfied and will work harder.","If I get monetary bonuses when I serve more customers, I will feel satisfied and work harder.",I will recommend a friend/relative to work at Varks.am․,I will recommend a friend/relative to use Varks.am services in case of a loan need.,I foresee myself working here one year from now.,I feel stressed at work.,Things that will motivate me to stay,I enjoy coming to work. ,Reasons why I want to stay here.
2017/11/24 12:39:58 PM GMT+4,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree ,Strongly agree,Strongly Agree ,Strongly agree,Agree,Strongly agree,Yes,Agree,,9,10,Yes,,,Agree,Good working staff;Promotion opportunities ;I love communicating with customers 
2017/11/24 12:40:00 PM GMT+4,Agree,Agree ,Disagree,Disagree ,Strongly disagree  ,Agree,Agree ,Strongly disagree,Strongly Disagree ,Disagree,Disagree,Disagree,No,,Agree ,1,1,No,Strongly agree,Higher salary;Better Working conditions;Fixed working schedule;Promotion opportunities;Existence of reward system,,
2017/11/24 12:41:39 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Strongly agree,Yes,Agree,,10,9,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff ;Good communication with my supervisor ;Promotion opportunities ;I love communicating with customers
2017/11/24 12:41:43 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Disagree,Agree,Disagree,Yes,Agree,,10,10,Yes,,,Agree,Good working staff 
2017/11/24 12:41:57 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Agree,Disagree  ,Agree ,Disagree ,Strongly Disagree ,Agree,Disagree,Disagree,Yes,Strongly agree ,,4,1,Yes,,,Disagree,
2017/11/24 12:42:45 PM GMT+4,Strongly Agree,Strongly agree,Agree,Disagree ,Strongly agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Strongly agree,No,,Agree ,9,7,Yes,,,Strongly agree,Good working staff 
2017/11/24 12:42:45 PM GMT+4,Agree,Strongly agree,Strongly agree,Disagree ,Agree,Strongly agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,Strongly agree,6,6,Yes,,,Agree,"Good working staff ;Good communication with my supervisor ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 12:43:44 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Agree,,10,10,Yes,,,Agree,Flexible working hours ;Good working staff ;Promotion opportunities ;I love communicating with customers 
2017/11/24 12:44:13 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,,10,10,Yes,,,Agree,Fair Pay;Flexible working hours ;Good working staff 
2017/11/24 12:44:28 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Disagree ,Agree,Strongly disagree ,Strongly agree,Agree,Agree,Agree,Strongly agree,No,,,10,8,Yes,,,Strongly agree,"Fair Pay;Flexible working hours ;Good working staff ;Good communication with my supervisor ;Promotion opportunities;I love communicating with customers ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 12:47:59 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Agree,Disagree ,Agree ,Strongly Agree ,Strongly agree,Agree,Agree ,No,,Strongly agree,10,7,Yes,,,Agree,"Fair Pay;Flexible working hours;Promotion opportunities ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 12:48:03 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly disagree ,Strongly agree,Strongly Agree ,Strongly agree,Agree,Strongly agree,Yes,Agree,,10,10,Yes,,,Agree,Fair Pay;Good working staff ;Good communication with my supervisor;Promotion opportunities;I love communicating with customers
2017/11/24 12:49:48 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,Yes,Strongly agree ,,9,9,Yes,,,Agree,Fair Pay;Good working staff ;Promotion opportunities 
2017/11/24 12:50:47 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Strongly agree,Disagree ,Agree ,Disagree ,Agree,Agree,Agree ,No,,Strongly agree,7,5,Yes,,,Agree,Promotion opportunities 
2017/11/24 12:52:52 PM GMT+4,Strongly Agree,Strongly agree,Agree,Strongly agree ,Agree,Agree,Strongly disagree ,Strongly agree,Agree,Agree,Agree,Strongly agree,Yes,Agree,,7,5,Yes,,,Strongly agree,Good working staff;Good communication with my supervisor ;Promotion opportunities 
2017/11/24 12:54:13 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,Agree ,7,5,Yes,,,Agree,Good working staff 
2017/11/24 12:54:51 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Agree,Agree ,Agree ,Agree,Agree,Disagree,Agree ,Yes,Agree,,7,5,No,Agree ,Higher salary;Promotion opportunities,,
2017/11/24 12:55:47 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Strongly agree,Yes,Strongly agree ,,10,10,Yes,,,Agree,Promotion opportunities 
2017/11/24 12:55:48 PM GMT+4,Agree,Agree ,Agree,Strongly agree ,Strongly agree,Strongly agree,Strongly disagree ,Agree ,Disagree ,Agree,Agree,Strongly agree,No,,Strongly agree,10,8,Yes,,,Agree,"Fair Pay;Good working staff ;Promotion opportunities;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV. "
2017/11/24 12:56:55 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Strongly agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Strongly agree,No,,Agree ,8,8,Yes,,,Agree,Fair Pay;Flexible working hours ;Good working staff ;Good communication with my supervisor;Promotion opportunities ;Reward system;I love communicating with customers 
2017/11/24 12:57:50 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Agree,Disagree ,Strongly agree,Strongly Agree ,Strongly agree,Disagree,Agree ,No,,,10,9,Yes,,,Strongly agree,Fair Pay;Good working staff ;Good communication with my supervisor;I love communicating with customers 
2017/11/24 12:58:04 PM GMT+4,Strongly Agree,Strongly agree,Agree,Disagree ,Strongly agree,Strongly agree,Strongly disagree ,Agree ,Agree,Agree,Disagree,Strongly agree,No,,Strongly agree,7,4,Yes,,,Strongly agree,Fair Pay;Flexible working hours;Location of the branch ;Good working staff;Good communication with my supervisor ;Promotion opportunities ;Reward system ;I love communicating with customers 
2017/11/24 12:59:28 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,Yes,Agree,,10,10,Yes,,,Agree,Good working staff 
2017/11/24 1:01:01 PM GMT+4,Strongly Agree,Agree ,Strongly disagree ,Disagree ,Agree,Strongly agree,Disagree ,Agree ,Disagree ,Agree,Strongly disagree,Agree ,Yes,Strongly agree ,,6,7,Yes,,,Agree,Flexible working hours ;Good working staff
2017/11/24 1:01:47 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Agree,Disagree  ,Agree ,Disagree ,Disagree ,Disagree,Disagree,Disagree,No,,Strongly agree,2,8,No,Disagree ,Higher salary;Better Working conditions;Fixed working schedule ;Existence of reward system,,
2017/11/24 1:01:48 PM GMT+4,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Yes,Strongly agree ,,10,8,Yes,,,Strongly agree,Fair Pay;Flexible working hours;Good communication with my supervisor ;Promotion opportunities;I love communicating with customers
2017/11/24 1:07:33 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree ,Strongly agree,Strongly agree ,Strongly agree,No,,Agree ,10,10,Yes,,,Strongly agree,
2017/11/24 1:07:43 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Strongly agree,Strongly agree,Strongly disagree ,Agree ,Agree,Agree,Agree,Strongly agree,Yes,Agree,,10,10,Yes,,,Strongly agree,Fair Pay;Promotion opportunities 
2017/11/24 1:11:16 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Disagree,No,,Agree ,5,4,Yes,,,Agree,Good working staff
2017/11/24 1:13:27 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Agree ,Agree,Agree,Strongly agree ,Strongly agree,No,,Agree ,10,5,Yes,,,Agree,Promotion opportunities 
2017/11/24 1:14:47 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Strongly agree,No,,,10,5,Yes,,,Strongly agree,Fair Pay;Good working staff ;Good communication with my supervisor;Promotion opportunities
2017/11/24 1:18:53 PM GMT+4,Agree,Agree ,Agree,Agree,Disagree ,Strongly disagree,Disagree ,Disagree ,Disagree ,Disagree,Agree,Disagree,No,,,8,8,Yes,,,Agree,Flexible working hours;Good working staff;Promotion opportunities 
2017/11/24 1:24:23 PM GMT+4,Agree,Agree ,Agree,Disagree ,Agree,Strongly agree,Disagree ,Agree ,Agree,Agree,Agree,Strongly agree,No,,Strongly agree,10,10,Yes,,,Agree,Good working staff ;Promotion opportunities 
2017/11/24 1:25:49 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Disagree ,Agree,Agree,Disagree,Agree ,No,,Agree ,5,5,No,Disagree ,Higher salary;Better location of the branch;Fixed working schedule ,,
2017/11/24 1:32:51 PM GMT+4,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,,10,10,Yes,,,Agree,Flexible working hours ;Location of the branch ;Good working staff;Good communication with my supervisor;Promotion opportunities 
2017/11/24 1:52:59 PM GMT+4,Agree,Agree ,Disagree,Disagree ,Agree,Agree,Disagree ,Agree ,Agree,Disagree,Disagree,Agree ,Yes,Agree,,10,5,Yes,,,Agree,Fair Pay;Location of the branch;Good working staff;I love communicating with customers 
2017/11/24 1:58:16 PM GMT+4,Agree,Agree ,Agree,Disagree ,Disagree ,Strongly agree,Strongly disagree ,Agree ,Disagree ,Agree,Agree,Agree ,No,,Agree ,10,8,Yes,,,Agree,Fair Pay
2017/11/24 2:01:47 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree ,Agree ,Agree,Agree,Disagree,Agree ,Yes,Agree,,7,6,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff;I love communicating with customers
2017/11/24 2:13:17 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Strongly agree ,,10,5,Yes,,,Strongly agree,Fair Pay;Flexible working hours;Good communication with my supervisor;Promotion opportunities 
2017/11/24 2:16:00 PM GMT+4,Strongly Agree,Agree ,Strongly agree,Strongly agree ,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree ,Disagree,Agree,Agree ,Yes,Disagree,,8,5,Yes,,,Agree,Promotion opportunities 
2017/11/24 2:19:38 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Disagree  ,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Agree ,Yes,Strongly agree ,,8,8,Yes,,,Strongly agree,Fair Pay;Flexible working hours ;Location of the branch ;Good working staff ;Good communication with my supervisor;Promotion opportunities
2017/11/24 2:28:56 PM GMT+4,Agree,Agree ,Agree,Strongly agree ,Strongly agree,Agree,Disagree ,Strongly agree,Agree,Agree,Disagree,Strongly agree,Yes,Strongly agree ,,10,7,Yes,,,Agree,Fair Pay;Location of the branch;Good working staff ;Promotion opportunities 
2017/11/24 2:47:35 PM GMT+4,Agree,Agree ,Strongly agree,Disagree ,Agree,Agree,Disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Agree ,Yes,Agree,,10,3,Yes,,,Agree,Good working staff ;Good communication with my supervisor ;Promotion opportunities
2017/11/24 3:14:24 PM GMT+4,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Agree,Disagree ,Strongly agree,Agree,Strongly agree,Agree,Agree ,No,,Agree ,7,3,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff ;Good communication with my supervisor ;Promotion opportunities 
2017/11/24 3:15:34 PM GMT+4,Agree,Agree ,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree ,No,,,1,2,No,Strongly agree,Higher salary;Better location of the branch ;Fixed working schedule ;Promotion opportunities ;Existence of reward system,,
2017/11/24 3:32:37 PM GMT+4,Strongly Agree,Agree ,Agree,Disagree ,Agree,Strongly agree,Strongly disagree ,Strongly agree,Agree,Agree,Agree,Agree ,Yes,Strongly agree ,,10,5,Yes,,,Strongly agree,Fair Pay;Flexible working hours;Good working staff 
2017/11/24 3:38:28 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Strongly disagree ,Disagree ,Agree,Agree,Agree,Agree ,No,,Strongly agree,9,9,Yes,,,Agree,Fair Pay;Good working staff;Good communication with my supervisor
2017/11/24 3:45:37 PM GMT+4,Strongly Agree,Strongly agree,Disagree,Strongly agree ,Agree,Strongly agree,Strongly disagree ,Disagree ,Agree,Disagree,Agree,Agree ,Yes,,,10,10,Yes,,,Agree,Good working staff;Good communication with my supervisor ;I love communicating with customers
2017/11/24 3:46:14 PM GMT+4,Strongly Agree,Strongly agree,Agree,Strongly agree ,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Strongly agree,Yes,Strongly agree ,,10,5,Yes,,,Strongly agree,Good working staff ;Good communication with my supervisor ;Promotion opportunities 
2017/11/24 3:47:50 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree ,Agree ,Strongly Agree ,Strongly agree,Strongly agree ,Agree ,No,,Strongly agree,8,8,Yes,,,Strongly agree,I love communicating with customers 
2017/11/24 3:55:40 PM GMT+4,Agree,Agree ,Agree,Disagree ,Disagree ,Agree,Disagree ,Agree ,Agree,Strongly agree,Agree,Strongly agree,No,,,10,9,Yes,,,Agree,Promotion opportunities
2017/11/24 3:55:47 PM GMT+4,Strongly Agree,Agree ,Agree,Disagree ,Agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,Strongly agree,8,7,Yes,,,Strongly disagree,"Fair Pay;Flexible working hours ;Good working staff;Promotion opportunities;I love communicating with customers ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 4:03:49 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Strongly agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Agree,,6,5,Yes,,,Agree,Fair Pay;Location of the branch 
2017/11/24 4:14:29 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Agree,Strongly agree,Disagree ,Strongly agree,Agree,Agree,Disagree,Strongly agree,Yes,Agree,,10,10,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff;I love communicating with customers 
2017/11/24 4:41:04 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Good working staff ;Good communication with my supervisor ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV"
2017/11/24 4:41:14 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Good working staff ;Good communication with my supervisor;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV"
2017/11/24 4:42:23 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Good working staff ;Good communication with my supervisor ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 5:01:40 PM GMT+4,Strongly Agree,Strongly agree,Agree,Disagree ,Agree,Disagree  ,Disagree ,Agree ,Disagree ,Agree,Disagree,Agree ,No,,Strongly agree,10,7,Yes,,,Agree,Fair Pay;Good working staff ;Promotion opportunities 
